,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Гарантия,VIN,Госномер,Владение,Обмен,Кузов №
34,LADA (ВАЗ) 2121 (4x4) I,https://auto.ru/cars/used/sale/vaz/2121/1101741546-c4fcc769/,55 000 ₽,1990,170 000 км,внедорожник 3 дв.,красный,1.6 л / 75 л.с. / Бензин,1 200 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|56,,,
35,Mercedes-Benz C-Класс  II (W203) 240,https://auto.ru/cars/used/sale/mercedes/c_klasse/1102259048-7b7255e1/,425 000 ₽,2004,300 700 км,седан,серый,2.6 л / 170 л.с. / Бензин,7 310 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WDB**************,******|50,,,
36,Mazda CX-5 I,https://auto.ru/cars/used/sale/mazda/cx_5/1102258382-dfe48388/,1 430 000 ₽,2014,82 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,RUM**************,,,,
37,Renault Logan II,https://auto.ru/cars/used/sale/renault/logan/1102258295-cfa9f3cc/,559 900 ₽,2015,75 000 км,седан,серый,1.6 л / 102 л.с. / Бензин,2 448 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X7L**************,,,Рассмотрю варианты,
38,Mercedes-Benz GLS  I (X166) 350 d,https://auto.ru/cars/used/sale/mercedes/gls_klasse/1102037770-5b9c3b8f/,4 850 000 ₽,2018,69 000 км,внедорожник 5 дв.,серый,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До февраля 2023,WDC**************,******|763,1 год и 11 месяцев,Рассмотрю варианты,
39,Ford Galaxy I,https://auto.ru/cars/used/sale/ford/galaxy/1101944572-2ac080b3/,235 000 ₽,1998,256 000 км,минивэн,чёрный,"2.3 л / 145 л.с. / Бензин, газобаллонное оборудование",4 785 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WF0**************,******|163,,Рассмотрю варианты,
40,Mercedes-Benz GLK-Класс  I (X204) Рестайлинг 250,https://auto.ru/cars/used/sale/mercedes/glk_klasse/1102163671-3e53c953/,1 610 000 ₽,2015,110 000 км,внедорожник 5 дв.,серый,2.0 л / 211 л.с. / Бензин,15 825 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До мая 2022,WDC**************,******|178,,,
41,Chevrolet Tahoe IV,https://auto.ru/cars/used/sale/chevrolet/tahoe/1101907115-ab45e1f9/,3 385 000 ₽,2016,37 000 км,внедорожник 5 дв.,чёрный,6.2 л / 409 л.с. / Бензин,61 350 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,Y3W**************,******|56,3 года и 11 месяцев,,
42,Renault Arkana I,https://auto.ru/cars/used/sale/renault/arkana/1101133507-9e5b51a4/,1 400 000 ₽,2019,33 000 км,внедорожник 5 дв.,белый,1.3 л / 150 л.с. / Бензин,4 950 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X7L**************,,1 год и 5 месяцев,,
43,Volvo XC90 I Рестайлинг,https://auto.ru/cars/used/sale/volvo/xc90/1102248098-5a94f917/,1 449 000 ₽,2013,122 200 км,внедорожник 5 дв.,коричневый,2.4 л / 200 л.с. / Дизель,8 600 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,YV1**************,,,Рассмотрю варианты,
44,LADA (ВАЗ) XRAY I,https://auto.ru/cars/used/sale/vaz/xray/1102201573-bdc3d591/,650 000 ₽,2018,20 000 км,хэтчбек 5 дв.,красный,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|123,,,
45,Audi Q7 II (4M),https://auto.ru/cars/used/sale/audi/q7/1102042057-985654e9/,2 900 000 ₽,2015,185 000 км,внедорожник 5 дв.,серый,3.0 л / 249 л.с. / Дизель,18 675 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WAU**************,******|63,2 месяца,Рассмотрю варианты,
46,Chevrolet Epica I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/epica/1102240994-cdb931df/,260 000 ₽,2010,100 000 км,седан,чёрный,2.0 л / 143 л.с. / Бензин,3 575 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XUU**************,,,,
47,Kia Rio  III 5-speed,https://auto.ru/cars/used/sale/kia/rio/1102258657-12b4032d/,500 000 ₽,2014,92 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,Z94**************,******|763,1 год и 4 месяца,Рассмотрю варианты,
48,Mitsubishi Lancer X Рестайлинг,https://auto.ru/cars/used/sale/mitsubishi/lancer/1102252265-7bcb2fef/,584 000 ₽,2014,128 000 км,седан,белый,1.6 л / 117 л.с. / Бензин,2 808 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JMB**************,,,Рассмотрю варианты,
49,Daewoo Gentra II,https://auto.ru/cars/used/sale/daewoo/gentra/1102194508-09539604/,220 000 ₽,2014,199 200 км,седан,белый,1.5 л / 107 л.с. / Бензин,2 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XWB**************,******|763,,,
50,Volkswagen Passat B6,https://auto.ru/cars/used/sale/volkswagen/passat/1102258871-e73ebc3c/,529 900 ₽,2010,172 000 км,седан,серый,1.8 л / 152 л.с. / Бензин,6 536 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XW8**************,,,Рассмотрю варианты,
51,Hyundai Sonata V (NF),https://auto.ru/cars/used/sale/hyundai/sonata/1102256723-b6dab793/,419 000 ₽,2007,166 000 км,седан,фиолетовый,2.0 л / 144 л.с. / Бензин,4 752 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,KMH**************,,,Рассмотрю варианты,
52,BMW X1  II (F48) 25i xDrive,https://auto.ru/cars/used/sale/bmw/x1/1102192306-f3062825/,No_info,,,,,,,,,,,,,,,,,,,
53,Chevrolet Lacetti,https://auto.ru/cars/used/sale/chevrolet/lacetti/1102188885-025f7c97/,200 000 ₽,2005,280 000 км,седан,белый,1.4 л / 94 л.с. / Бензин,1 504 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,KL1**************,******|763,,,
54,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1102257113-bc50b12d/,335 000 ₽,2017,32 000 км,седан,серый,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,,,Рассмотрю варианты,
55,Mazda 6 III (GJ),https://auto.ru/cars/used/sale/mazda/6/1102253404-8511db58/,1 030 000 ₽,2013,70 000 км,седан,белый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JMZ**************,,,Рассмотрю варианты,
56,Toyota Land Cruiser Prado 150 Series,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1102236943-76ccfab6/,1 600 000 ₽,2010,151 722 км,внедорожник 5 дв.,белый,3.0 л / 173 л.с. / Дизель,7 439 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JTE**************,,,Рассмотрю варианты,
57,Toyota Camry VII (XV50),https://auto.ru/cars/used/sale/toyota/camry/1102249907-ccf30e68/,1 150 000 ₽,2014,117 000 км,седан,чёрный,2.5 л / 181 л.с. / Бензин,7 783 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XW7**************,,,Рассмотрю варианты,
58,Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102249908-12e777db/,709 000 ₽,2013,108 000 км,внедорожник 5 дв.,белый,1.4 л / 140 л.с. / Бензин,4 620 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XUU**************,,,Рассмотрю варианты,
59,Hyundai Creta I,https://auto.ru/cars/used/sale/hyundai/creta/1102253706-153e3711/,1 037 000 ₽,2018,29 154 км,внедорожник 5 дв.,белый,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z94**************,,,Рассмотрю варианты,
60,УАЗ 3151  315122,https://auto.ru/cars/used/sale/uaz/3151/1102240211-5947f7a1/,170 000 ₽,1999,69 000 км,внедорожник открытый,жёлтый,2.5 л / 74 л.с. / Бензин,1 184 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTT**************,,,Рассмотрю варианты,
61,Mazda 3 III (BM),https://auto.ru/cars/used/sale/mazda/3/1102239220-f60549e4/,730 000 ₽,2014,97 374 км,седан,белый,1.6 л / 104 л.с. / Бензин,2 496 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JMZ**************,,6 лет и 2 месяца,,
62,Lifan X70 I,https://auto.ru/cars/used/sale/lifan/x70/1102256695-f26ebce2/,819 900 ₽,2018,80 000 км,внедорожник 5 дв.,белый,2.0 л / 136 л.с. / Бензин,4 488 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X9W**************,,,Рассмотрю варианты,
63,Hyundai Sonata  IV (EF) Рестайлинг ТагАЗ,https://auto.ru/cars/used/sale/hyundai/sonata/1102112085-4789ad84/,255 000 ₽,2007,235 000 км,седан,чёрный,2.0 л / 137 л.с. / Бензин,4 521 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X7M**************,******|163,,Рассмотрю варианты,
64,LADA (ВАЗ) Kalina II Cross,https://auto.ru/cars/used/sale/vaz/kalina/1102223636-065465c7/,550 000 ₽,2017,55 000 км,универсал 5 дв.,серый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,,,,
65,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1101991492-1cccf162/,736 900 ₽,2020,10 000 км,седан,коричневый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До марта 2023,XTA**************,******|763,11 месяцев,,
66,LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1102252888-afec8d86/,65 000 ₽,2006,160 000 км,седан,серый,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,,,Рассмотрю варианты,
67,Mazda 3 II (BL),https://auto.ru/cars/used/sale/mazda/3/1102258227-b2ee3c50/,715 000 ₽,2010,120 600 км,хэтчбек 5 дв.,голубой,1.6 л / 105 л.с. / Бензин,2 520 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,JMZ**************,,9 лет и 11 месяцев,Рассмотрю варианты,
68,Volvo XC90 I Рестайлинг,https://auto.ru/cars/used/sale/volvo/xc90/1102248196-2eeaa713/,749 856 ₽,2008,380 000 км,внедорожник 5 дв.,коричневый,3.2 л / 238 л.с. / Бензин,17 850 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,YV1**************,,,Рассмотрю варианты,
69,Honda HR-V II Рестайлинг,https://auto.ru/cars/used/sale/honda/hr_v/1101927692-7d3f715c/,1 690 000 ₽,2019,6 000 км,внедорожник 5 дв.,белый,1.8 л / 141 л.с. / Бензин,4 653 ₽ / год,вариатор,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,3CZ**************,,1 год и 3 месяца,,
70,Mazda CX-5 II,https://auto.ru/cars/used/sale/mazda/cx_5/1102251989-cd0fec1e/,2 350 000 ₽,2018,39 800 км,внедорожник 5 дв.,белый,2.5 л / 194 л.с. / Бензин,8 342 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,RUM**************,,1 год и 11 месяцев,,
71,Toyota Camry VII (XV50) Рестайлинг,https://auto.ru/cars/used/sale/toyota/camry/1102237403-be6f4766/,1 450 000 ₽,2017,57 500 км,седан,чёрный,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XW7**************,,,,
72,LADA (ВАЗ) 2121 (4x4) I,https://auto.ru/cars/used/sale/vaz/2121/1101741546-c4fcc769/,55 000 ₽,1990,170 000 км,внедорожник 3 дв.,красный,1.6 л / 75 л.с. / Бензин,1 200 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|56,,,
73,Mercedes-Benz C-Класс  II (W203) 240,https://auto.ru/cars/used/sale/mercedes/c_klasse/1102259048-7b7255e1/,425 000 ₽,2004,300 700 км,седан,серый,2.6 л / 170 л.с. / Бензин,7 310 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WDB**************,******|50,,,
74,Mazda CX-5 I,https://auto.ru/cars/used/sale/mazda/cx_5/1102258382-dfe48388/,1 430 000 ₽,2014,82 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,RUM**************,,,,
75,Renault Logan II,https://auto.ru/cars/used/sale/renault/logan/1102258295-cfa9f3cc/,559 900 ₽,2015,75 000 км,седан,серый,1.6 л / 102 л.с. / Бензин,2 448 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X7L**************,,,Рассмотрю варианты,
76,Mercedes-Benz C-Класс  II (W203) 240,https://auto.ru/cars/used/sale/mercedes/c_klasse/1102259048-7b7255e1/,425 000 ₽,2004,300 700 км,седан,серый,2.6 л / 170 л.с. / Бензин,7 310 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,WDB**************,******|50,,,
77,Mazda CX-5 I,https://auto.ru/cars/used/sale/mazda/cx_5/1102258382-dfe48388/,1 430 000 ₽,2014,82 000 км,внедорожник 5 дв.,серый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,RUM**************,,,,
78,Renault Logan II,https://auto.ru/cars/used/sale/renault/logan/1102258295-cfa9f3cc/,559 900 ₽,2015,75 000 км,седан,серый,1.6 л / 102 л.с. / Бензин,2 448 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X7L**************,,,Рассмотрю варианты,
79,Nissan Pathfinder IV,https://auto.ru/cars/used/sale/nissan/pathfinder/1102248549-e27ad8ee/,2 070 000 ₽,2015,38 111 км,внедорожник 5 дв.,белый,3.5 л / 249 л.с. / Бензин,18 675 ₽ / год,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,Z8N**************,,5 лет и 3 месяца,,
